ESSEX-CT,8462925,ESXC3,41.35,-72.38,4.42,3.42,1.7,0,1,1,S,8461490,9,0,E
Old-Saybrook-CT,8462752,SABC3,41.28,-72.35,4.75,3.68,1.84,0,1,1,S,8461490,9,0,E
Washington-DC,8594900,WASD2,38.87,-77.02,8.36,7.72,6.1,4.55,1,1,P,0,9,0,E
Kenilworth-Aquatic-Garden-DC,8593909,ANAD2,38.91,-76.95,26.5,25.34,23.6,22.03,0,1,S,8594900,9,0,E
Bellevue-DC,8590111,BPPD2,38.83,-77.03,4.19,3.47,1.78,0,0,1,S,8594900,9,0,E
Lewes-DE,8557380,LWSD1,38.78,-75.12,8.6,7.43,5.01,2.78,1,1,P,0,9,0,E
Delaware-City-DE,8551762,DELD1,39.58,-75.59,29,28.4,25.35,22.4,1,1,P,0,9,0,E
Reedy-Point-DE,8551910,RDYD1,39.56,-75.57,8.18,7.19,4.27,1.35,1,1,P,0,9,0,E
Brandywine-Shoal-Light-DE,8555889,BRND1,38.99,-75.11,25.97,24.48,21.6,18.99,1,1,P,0,9,0,E
Murderkill-River-ENTR-DE,8555388,BOWD1,39.06,-75.4,6.52,5.11,2.2,0,1,1,S,8557380,9,0,E
Willlmington-DE,8550714,WIMD1,39.72,-75.52,6.93,5.98,2.99,0,1,1,S,8551910,9,0,E
Indian-River-Inlet-DE,8558690,INRD1,38.61,-75.07,4.0,2.94,1.48,0,1,1,P,0,9,0,E
Saint-Petersburg-FL,8726520,SAPF1,27.76,-82.63,6.49,5.63,4.57,3.37,1,1,P,0,9,0,G
Virginia-Key-FL,8723214,VAKF1,25.73,-80.16,13.28,12.36,11.25,10.14,1,1,P,0,9,0,E
Panama-City-Beach-FL,8729210,PCBF1,30.21,-85.88,29.24,28.4,27.67,27,1,1,P,0,9,0,G
Key-West-FL,8724580,KYWF1,24.56,-81.81,7.21,6.37,5.45,4.56,1,1,P,0,9,0,G
Naples-FL,8725110,NPSF1,26.13,-81.81,5.96,5.01,3.79,2.14,1,1,P,0,9,0,G
Panama-City-FL,8729108,PACF1,30.15,-85.67,5.47,4.68,4.01,3.34,1,1,P,0,9,0,G
Red-Bay-Point-FL,8720503,ZZZZZ,29.98,-81.63,0.58,0.43,-0.04,-0.57,0,1,P,0,9,0,E
Apalachicola-FL,8728690,APCF1,29.73,-84.98,6.37,5.9,5.2,4.29,1,1,P,0,9,0,G
Clearwater-Beach-FL,8726724,CWBF1,27.98,-82.83,5.44,4.49,3.21,1.73,1,1,P,0,9,0,G
Port-Manatee-FL,8726384,PMAF1,27.64,-82.56,3.26,2.39,1.37,0.21,1,1,P,0,9,0,G
Cedar-Key-FL,8727520,CKYF1,29.14,-83.03,6.65,5.6,3.84,1.8,1,1,P,0,9,0,G
Old-Port-Tampa-FL,8726607,OPTF1,27.86,-82.55,31.75,30.74,29.57,28.28,1,1,P,0,9,0,G
Fort-Myers-FL,8725520,FMRF1,26.65,-81.87,6.44,5.68,4.99,4.36,1,1,P,0,9,0,G
Trident-Pier-FL,8721604,TRDF1,28.41,-80.59,23.42,21.89,19.86,17.98,1,1,P,0,9,0,E
Southbank-Riverwalk-FL,8720226,MSBF1,30.32,-81.66,3.02,1.94,1.06,0.0,1,1,P,0,9,0,E
I-295-Bridge-FL,8720357,BKBF1,30.19,-81.69,1.21,0.37,-0.12,-0.65,0,1,P,0,9,0,E
Pensacola-FL,8729840,PCLF1,30.4,-87.21,10.61,9.69,9.05,8.43,1,1,P,0,9,0,G
Vaca-Key-FL,8723970,VCAF1,24.71,-81.11,4.15,3.52,3.05,2.54,1,1,P,0,9,0,G
Port-Everglades-FL,8722956,ZZZZZ,26.08,-80.12,4.00,2.81,1.43,0,0,1,P,0,9,0,E
Lake-Worth-Pier-FL,8722670,LKWF1,26.61,-80.03,34.31,33.05,31.53,29.99,1,1,P,0,9,0,E
Fernandina-FL,8720030,FRDF1,30.67,-81.47,10.06,8.26,4.99,1.7,1,1,P,0,9,0,E
Racy-Point-FL,8720625,RCYF1,29.8,-81.55,1.34,0.63,0.03,-0.63,0,1,P,0,9,0,E
Dames-Point-FL,8720219,DMSF1,30.39,-81.56,8.43,7.47,5.69,3.84,1,1,P,0,9,0,E
Mayport-(Bar-Pilots-Dock)-FL,8720218,MYPF1,30.4,-81.43,15.64,14.02,11.54,9.07,1,1,P,0,9,0,E
Mckay-Bay-Entrance-FL,8726667,MCYF1,27.91,-82.42,3.95,2.94,1.72,0.27,1,1,P,0,9,0,G
FT-Pulaski-GA,8670870,FPKG1,32.03,-80.9,12.82,11,7.32,3.5,1,1,P,0,9,0,E
Meridian-Darien-GA,8675245,MERG1,31.45,-81.37,8.39,6.64,3.2,0,1,1,S,8670870,9,0,E
Sapelo-Island-GA,8675365,SAQG1,31.42,-81.29,8.36,6.62,3.19,0,1,1,S,8670870,9,0,E
Bulk-Terminal-LA,8767961,BKTL1,30.19,-93.3,24.69,24.44,23.85,23.1,1,1,P,0,9,0,G
New-Canal-Station-LA,8761927,NWCL1,30.03,-90.11,4.93,4.84,4.57,4.3,1,1,P,0,9,0,G
Pilots-Station-East-LA,8760922,PSTL1,28.93,-89.41,32.81,32.01,31.43,30.84,1,1,P,0,9,0,G
Pilottown-LA,8760721,PILL1,29.18,-89.26,7.2,6.47,6.04,5.61,1,1,P,0,9,0,G
Berwick-LA,8764044,TESL1,29.67,-91.24,20.32,20.22,19.97,19.67,1,1,P,0,9,0,G
Port-Fourchon-LA,8762075,PTFL1,29.11,-90.2,31.95,31.12,30.54,29.91,1,1,P,0,9,0,G
Freshwater-Canal-Locks-LA,8766072,FRWL1,29.56,-92.31,23.73,23.11,22.19,20.95,1,1,P,0,9,0,G
Shell-Beach-LA,8761305,SHBL1,29.87,-89.67,33.69,32.82,32.1,31.35,1,1,P,0,9,0,G
Lawma-LA,8764227,AMRL1,29.45,-91.34,25.7,25.04,24.28,23.42,1,1,P,0,9,0,G
Eugene-Island-North-of-LA,8764314,EINL1,29.37,-91.38,14.83,14.15,13.31,12.29,1,1,P,0,0,0,G
Calcasieu-Pass-LA,8768094,CAPL1,29.77,-93.34,29.46,28.8,28.06,26.87,1,1,P,0,9,0,G
Grand-Isle-East-PT-LA,8761724,GISL1,29.26,-89.96,8.15,7.41,6.89,6.35,1,1,P,0,9,0,G
Lake-Charles-LA,8767816,LCLL1,30.22,-93.22,28.18,27.8,27.18,26.39,1,1,P,0,9,0,G
Nantucket-Island-MA,8449130,NTKM3,41.28,-70.1,7.41,6.57,4.77,3,1,1,P,0,9,0,E
Chatham-MA,8447435,CHTM3,41.69,-69.95,11.2,9.38,6.64,3.88,0,1,P,0,9,0,E
Buzzards-Bay-MA,8447270,ZZZZZ,41.74,-70.62,6.15,4.66,2.46,0.67,0,1,P,0,9,0,E
Woods-Hole-MA,8447930,BZBM3,41.52,-70.67,5.84,4.82,3.6,2.62,1,1,P,0,9,0,E
Fall-River-MA,8447386,FRVM3,41.7,-71.16,27.16,25.63,23.06,20.85,1,1,P,0,9,0,E
Boston-MA,8443970,BHBM3,42.35,-71.05,15.95,13.8,8.73,3.52,1,1,P,0,9,0,E
